transition_id,from_grade,to_grade,minutes_since_transition,machine_speed_mpm,speed_change_rate,stock_consistency_pct,consistency_setpoint,steam_pressure_bar,steam_pressure_setpoint,headbox_pressure_kpa,headbox_pressure_setpoint,slice_opening_mm,slice_opening_setpoint,stock_flow_lpm,stock_flow_setpoint,basis_weight_target_gsm,basis_weight_actual_gsm,basis_weight_deviation_gsm
1,Grade_A_Light,Grade_D_Specialty,0,655.07,21.75,3.621,3.776,2.514,2.33,44.94,44.27,18.74,18.66,5331.1,5251.2,90,91.59,1.585
1,Grade_A_Light,Grade_D_Specialty,1,657.51,21.75,3.701,3.776,2.49,2.33,44.7,44.27,18.71,18.66,5336.5,5251.2,90,92.0,1.999
1,Grade_A_Light,Grade_D_Specialty,2,661.27,21.75,3.731,3.776,2.605,2.33,44.49,44.27,18.66,18.66,5307.6,5251.2,90,92.24,2.24
1,Grade_A_Light,Grade_D_Specialty,3,665.89,21.75,3.731,3.776,2.533,2.33,44.14,44.27,18.71,18.66,5320.5,5251.2,90,92.03,2.029
1,Grade_A_Light,Grade_D_Specialty,4,668.35,21.75,3.748,3.776,2.524,2.33,44.24,44.27,18.78,18.66,5319.2,5251.2,90,92.06,2.06
1,Grade_A_Light,Grade_D_Specialty,5,671.69,21.75,3.766,3.776,2.546,2.33,43.66,44.27,18.74,18.66,5300.6,5251.2,90,91.57,1.57
1,Grade_A_Light,Grade_D_Specialty,6,674.63,21.75,3.842,3.776,2.477,2.33,44.11,44.27,18.6,18.66,5287.3,5251.2,90,91.98,1.98
1,Grade_A_Light,Grade_D_Specialty,7,678.59,21.75,3.87,3.776,2.513,2.33,43.98,44.27,18.57,18.66,5305.2,5251.2,90,92.0,1.999
1,Grade_A_Light,Grade_D_Specialty,8,680.32,21.75,3.802,3.776,2.443,2.33,44.21,44.27,18.59,18.66,5317.0,5251.2,90,91.47,1.467
1,Grade_A_Light,Grade_D_Specialty,9,683.78,21.75,3.83,3.776,2.415,2.33,44.4,44.27,18.54,18.66,5301.4,5251.2,90,91.47,1.47
